Student_Number,First_Name,Last_Name,Status,Current_Track,Current_Year_Entry_Date,Current_Year_Exit_Date,Grade_Level,School,Membership,Present,Absent,Tardies,Special_Education_Program
1936,First936,Last936,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,107,6,0,0
1937,First937,Last937,Active,A,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,113,0,0,0
1938,First938,Last938,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,112,1,0,0
1939,First939,Last939,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,109,4,0,0
1940,First940,Last940,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,97.5,15.5,0,0
1941,First941,Last941,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
1942,First942,Last942,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,103,10,0,0
1943,First943,Last943,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,113,0,0,0
1944,First944,Last944,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,113,0,0,0
1945,First945,Last945,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,0
1946,First946,Last946,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
1947,First947,Last947,Inactive,,8/24/2020,10/6/2020,3,KIPP Columbus Elementary,27,27,0,0,0
1948,First948,Last948,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,98,15,0,0
1949,First949,Last949,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,111.5,1.5,0,0
1950,First950,Last950,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,106,7,0,0
1951,First951,Last951,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,112,1,0,0
1952,First952,Last952,Active,B,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,105,8,0,1
